id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
14700,F,1.4375,1.1,0.3375,24.28134675,13.53688625,4.86193925,7.7961125,10
14701,I,0.875,0.6375,0.2,5.6699,2.26796,1.48834875,1.70097,6
14702,I,0.875,0.65,0.225,5.00368675,2.041164,1.00640725,1.7293195,5
14703,I,1.1125,0.8125,0.3,12.54465375,5.443104,2.70737725,3.8271825,8
14704,I,1.025,0.75,0.2375,8.9300925,4.4508715,2.154562,2.551455,8
14705,M,1.55,1.2125,0.4125,35.81959325,15.49300175,7.72523875,9.2135875,11
14706,M,1.35,1.0125,0.375,20.96445525,8.77417025,5.499803,6.23689,11
14707,F,1.1,0.85,0.3375,11.26892625,4.26659975,2.67902775,3.8271825,14
14708,F,1.3625,1.025,0.375,21.9708625,9.2135875,5.25883225,5.953395,8
14709,M,1.6375,1.325,0.4375,39.972795,13.1258185,5.4714535,13.891255,17
14710,M,1.7125,1.3375,0.4,44.91978275,19.447757,10.70193625,11.94931425,14
14711,F,1.45,1.1,0.4,30.91512975,11.0846545,6.50621025,8.788345,9
14712,F,1.4625,1.15,0.3,28.44872325,11.679994,9.9506745,4.7343665,6
14713,F,1.6375,1.3,0.4125,39.19318375,16.612807,8.618248,11.509897,15
14714,M,1.45,1.1875,0.375,29.7386255,14.75591475,6.13766675,7.37087,11
14715,M,1.4375,1.125,0.4,25.16018125,12.77144975,4.77689075,6.23689,8
14716,F,1.6125,1.25,0.4375,34.9549335,15.7339725,7.427569,9.00096625,10
14717,F,1.55,1.2,0.425,28.519597,11.736693,5.8116475,9.8372765,19
14718,F,1.375,1.0625,0.45,24.720764,9.8372765,5.896696,6.690482,10
14719,M,0.5375,0.425,0.15,1.74349425,0.737087,0.35436875,0.56699,5
14720,M,1.575,1.2125,0.3875,34.5013415,13.11164375,7.6827145,11.60912025,18
14721,F,1.5625,1.25,0.4375,37.74735925,17.08057375,7.824462,10.0640725,12
14722,F,1.55,1.2125,0.45,31.25532375,12.74310025,7.824462,9.2135875,13
14723,F,1.5,1.1875,0.4375,37.9032815,17.8885345,7.47009325,10.942907,14
14724,I,0.5,0.35,0.1375,1.45999925,0.510291,0.41106775,0.3685435,5
14725,M,0.925,0.6625,0.2375,6.3219385,2.70737725,1.077281,1.757669,5
14726,I,0.5125,0.375,0.1375,1.190679,0.72291225,0.340194,0.4252425,4
14727,F,1.4875,1.15,0.375,30.957654,14.118051,6.3786375,8.50485,10
14728,I,0.9375,0.7375,0.25,7.98038425,3.2601925,1.8994165,2.6932025,8
14729,I,0.6375,0.4625,0.1625,2.097863,0.7654365,0.52446575,0.7087375,6
14730,I,0.4375,0.3125,0.1,0.66621325,0.226796,0.226796,0.226796,4
14731,I,1.3625,1.05,0.4,20.41164,8.4765005,4.649318,6.3786375,10
14732,I,1.25,0.975,0.3375,14.98271075,6.406987,2.73572675,4.3941725,9
14733,I,1.3,0.9875,0.325,15.03940975,6.81805475,3.6003865,3.9405805,8
14734,M,1.625,1.25,0.45,40.766581,20.525038,9.34116025,9.99319875,11
14735,M,1.625,1.25,0.4375,45.8978405,19.29183475,7.881161,13.0691195,10
14736,M,1.5125,1.2125,0.4125,34.99745775,15.4504775,7.0023265,8.221355,9
14737,I,1.05,0.8125,0.3125,11.09882925,4.46504625,2.90582375,3.2601925,7
14738,I,1.475,1.1625,0.4125,30.1922175,10.829509,6.19436575,9.63883,19
14739,I,1.2125,0.9375,0.3125,16.54193325,7.72523875,3.67126025,4.9611625,8
14740,M,1.225,0.925,0.325,14.81261375,5.6982495,3.7704835,4.6776675,9
14741,I,0.7875,0.575,0.2,4.422522,1.871067,0.963883,1.2757275,5
14742,F,1.4125,1.1,0.35,24.38057,12.3887315,4.89028875,6.520385,9
14743,F,1.5625,1.225,0.375,33.8776525,13.05494475,7.3425205,10.0640725,11
14744,M,1.575,1.2,0.5125,30.4190135,12.20445975,6.520385,10.0640725,13
14745,M,1.2375,0.9375,0.35,17.95940825,8.60407325,3.67126025,4.23825025,9
14746,F,1.5375,1.2,0.425,33.9343515,14.911837,8.43397625,8.29222875,7
14747,I,0.5875,0.4375,0.15,1.77184375,0.623689,0.623689,0.623689,6
14748,M,1.4375,1.1375,0.425,29.596878,14.04717725,7.711064,7.654365,9
14749,F,1.45,1.1125,0.4375,22.04173625,10.149121,5.25883225,6.690482,13
14750,F,1.575,1.225,0.3875,30.1922175,14.67086625,6.78970525,7.654365,8
14751,I,1.1375,0.875,0.275,11.169703,5.7549485,2.62232875,3.40194,8
14752,F,1.1375,0.875,0.35,14.69921575,6.2652395,3.58621175,4.6776675,9
14753,F,1.525,1.15,0.4,31.62386725,15.80484625,6.39281225,8.221355,10
14754,M,1.25,0.9625,0.2875,18.824068,8.561549,4.89028875,5.10291,10
14755,F,1.5,1.0875,0.5125,28.64716975,11.75086775,6.633783,10.77281,18
14756,I,1.2125,0.9125,0.275,14.5432935,6.2085405,2.50893075,3.685435,8
14757,M,1.4375,1.0875,0.3625,24.39474475,9.4403835,4.762716,8.0796075,15
14758,M,1.55,1.2,0.3875,34.5013415,16.54193325,6.2652395,8.66077225,10
14759,F,1.3,0.9625,0.3375,19.80212575,8.34892775,3.96893,6.0951425,10
14760,I,1.1375,0.8875,0.3,15.09610875,6.6054335,3.41611475,3.855532,7
14761,I,1.45,1.125,0.325,22.566202,10.47514025,5.0745605,6.6621325,9
14762,I,0.8625,0.6625,0.225,5.68407475,2.664853,1.1623295,1.7860185,6
14763,M,1.5,1.2375,0.475,39.19318375,14.84096325,8.68912175,14.3164975,18
14764,I,0.85,0.6375,0.225,5.0745605,2.19708625,0.9355335,1.5592225,6
14765,I,1.0875,0.8,0.25,10.716111,4.309124,2.097863,3.40194,7
14766,I,1.225,1,0.325,17.7184375,6.747181,3.44446425,5.953395,9
14767,I,0.725,0.5375,0.175,3.30271675,1.45999925,0.52446575,1.14815475,5
14768,M,1.4375,1.15,0.45,29.18581025,13.9196045,5.1879585,7.654365,12
14769,I,1.25,0.9625,0.275,17.0380495,9.62465525,3.6003865,3.8271825,7
14770,I,1.025,0.775,0.2375,8.00873375,3.89805625,1.7293195,2.16873675,6
14771,I,0.9625,0.7625,0.2625,8.618248,3.061746,1.7293195,2.26796,10
14772,F,1.625,1.225,0.4125,33.52328375,15.06775925,7.86698625,8.3631025,9
14773,F,1.4375,1.125,0.3875,22.963095,11.4815475,5.74077375,6.23689,8
14774,I,1.3625,1.125,0.3625,22.169309,10.035723,4.9044635,6.19436575,8
14775,M,1.3,1,0.375,21.829115,7.3992195,4.52174525,8.0229085,10
14776,M,1.575,1.225,0.3875,32.16250775,14.69921575,6.81805475,8.6465975,10
14777,M,1.475,1.1375,0.4,29.27085875,12.51630425,5.03203625,8.9300925,10
14778,F,1.65,1.3375,0.425,39.2640575,18.01610725,8.37727725,10.77281,11
14779,I,1.1625,0.875,0.325,14.118051,4.60679375,2.9766975,5.2446575,9
14780,F,1.2125,0.975,0.35,17.0380495,6.7188315,3.92640575,6.123492,10
14781,F,1.425,1.1125,0.3625,24.720764,11.5949455,6.22271525,7.2291225,10
14782,F,1.125,0.875,0.3125,13.947954,5.9817445,3.0900955,4.252425,8
14783,M,1.6125,1.25,0.45,36.627554,16.23008875,8.164656,11.056305,11
14784,M,1.45,1.1375,0.3875,29.41260625,11.49572225,5.62737575,8.50485,11
14785,I,1.2125,0.8875,0.3125,15.762322,8.03708325,3.7704835,3.2601925,8
14786,F,1.725,1.425,0.5,52.900167,21.7440665,10.58853825,12.45960525,10
14787,F,1.625,1.325,0.475,41.7588135,19.06503875,9.96484925,11.4815475,11
14788,F,1.4,1.1,0.3875,27.54153925,12.99824575,5.499803,7.93786,9
14789,M,1.5375,1.2125,0.325,32.10580875,13.79203175,6.633783,9.07184,10
14790,I,1.1125,0.8625,0.25,12.7856245,5.03203625,3.2034935,3.40194,8
14791,F,1.5125,1.175,0.3875,30.4190135,13.04077,7.07320025,8.29222875,9
14792,F,1.6,1.25,0.475,37.15201975,15.762322,7.9662095,8.71747125,10
14793,I,0.5,0.375,0.1125,1.60174675,0.3685435,0.18427175,0.283495,4
14794,I,0.925,0.7375,0.225,8.50485,4.29494925,1.45999925,2.4097075,7
14795,I,1.175,0.8875,0.3125,14.72756525,6.123492,3.6570855,4.1106775,9
14796,M,1.3125,1.0125,0.325,14.81261375,6.9456275,3.86970675,5.03203625,8
14797,M,1.5625,1.225,0.4,35.890467,16.5277585,7.18659825,8.77417025,10
14798,M,1.325,1.025,0.3125,18.12950525,7.92368525,3.7137845,5.953395,15
14799,F,1.6625,1.2875,0.4875,39.70347475,17.78931125,8.561549,13.324265,11
14800,I,1.075,0.8125,0.25,10.886208,4.309124,2.5798045,3.118445,8
14801,F,1.55,1.25,0.4125,36.61337925,16.612807,7.257472,10.489315,9
14802,F,1.5375,1.1875,0.4125,31.6096925,14.89766225,6.67630725,9.922325,13
14803,M,1.425,1.05,0.35,22.8213475,8.63242275,4.89028875,7.2291225,11
14804,M,1.4,1.1,0.4,27.328918,8.8733935,4.762716,10.6310625,20
14805,M,1.4125,1.125,0.4125,27.0737725,8.845044,4.77689075,10.07824725,18
14806,F,1.375,1.075,0.4125,29.9087225,10.9712565,6.7755305,10.9145575,14
14807,M,1.625,1.3,0.375,37.32211675,17.93105875,6.98815175,10.489315,10
14808,M,1.35,1.0625,0.4125,26.60600575,8.29222875,5.5281525,7.7961125,12
14809,I,0.95,0.6875,0.2375,6.56290925,2.14038725,1.2757275,2.1262125,7
14810,F,1.625,1.3125,0.4375,36.61337925,17.293195,8.83086925,10.0640725,12
14811,F,1.4875,1.1625,0.3875,29.2283345,13.551061,6.23689,9.76640275,10
14812,I,1.2,0.8875,0.2875,12.06271225,6.02426875,2.381358,3.8271825,8
14813,I,1.05,0.775,0.3375,8.958442,3.55786225,1.984465,2.948348,8
14814,F,1.2,0.8875,0.35,16.23008875,5.57067675,3.175144,4.9611625,14
14815,M,1.6,1.275,0.4125,36.18813675,12.3887315,8.3064035,9.7805775,10
14816,M,0.9625,0.75,0.2375,6.08096775,2.42388225,1.37495075,2.4097075,7
14817,M,1.575,1.25,0.425,31.9498865,13.70698325,7.314171,10.0640725,13
14818,M,1.175,0.9125,0.3,12.54465375,4.819415,2.62232875,5.2446575,14
14819,F,1.325,1.05,0.45,21.9708625,8.46232575,4.195726,7.7961125,10
14820,I,1.15,0.9,0.2625,18.1153305,8.50485,3.96893,3.628736,5
14821,F,1.5125,1.1625,0.375,28.689694,14.628342,6.0951425,6.7755305,9
14822,F,1.475,1.125,0.35,24.777463,10.36174225,5.82582225,6.23689,10
14823,F,1.4125,1.15,0.375,31.68056625,15.7339725,7.767763,8.221355,9
14824,F,1.6375,1.3125,0.475,38.215126,16.896302,7.8528115,11.1980525,15
14825,F,1.4625,1.125,0.375,26.138239,10.36174225,5.499803,7.1724235,9
14826,F,1.4,1.1,0.425,28.64716975,11.01378075,6.2652395,8.15048125,12
14827,F,1.5125,1.175,0.3625,28.22192725,12.85649825,6.917278,7.5126175,10
14828,M,1.5375,1.1625,0.4625,29.1149365,14.7700895,6.3786375,8.3631025,9
14829,I,1.1125,0.8625,0.25,12.14776075,5.9817445,2.14038725,3.118445,7
14830,M,1.6875,1.325,0.5125,41.91473575,17.8885345,8.4765005,11.12717875,10
14831,F,1.475,1.1,0.3875,28.973189,13.834556,7.0590255,7.93786,9
14832,F,1.175,0.9375,0.3125,15.5071765,6.0384435,3.9405805,4.819415,9
14833,F,1.5875,1.2875,0.45,44.04094825,19.94387325,9.298636,11.90679,13
14834,M,1.4375,1.125,0.4125,26.12406425,9.28446125,6.3786375,7.257472,11
14835,F,1.8125,1.4375,0.4375,59.20793075,28.05183025,14.514944,14.5432935,12
14836,I,1.0625,0.7875,0.2875,9.73805325,4.4508715,2.25378525,2.551455,10
14837,I,1.375,1.075,0.375,22.92057075,9.87980075,5.54232725,6.6621325,10
14838,M,0.95,0.6875,0.225,6.8889285,3.005047,1.5025235,2.19708625,8
14839,M,1.6375,1.2125,0.3875,35.6920205,15.77649675,7.47009325,10.3475675,14
14840,I,1,0.6375,0.225,9.00096625,3.8838815,1.927766,2.608154,7
14841,M,1.725,1.3,0.4375,47.230267,25.798045,9.36950975,13.324265,9
14842,I,1.2125,0.9125,0.3,16.71203025,6.76135575,3.01922175,4.479221,9
14843,I,1.3125,0.975,0.275,15.83319575,7.10154975,3.01922175,4.706017,8
14844,M,1.6375,1.3125,0.475,38.82464025,15.35125425,8.3064035,13.324265,13
14845,I,0.7375,0.55,0.15,2.494756,1.03475675,0.5953395,0.9922325,5
14846,I,1.1375,0.8375,0.375,16.1308655,7.37087,2.4664065,4.5642695,8
14847,I,1.0875,0.8375,0.225,9.63883,4.77689075,1.60174675,2.6932025,7
14848,M,1.4625,1.1375,0.5625,29.9087225,10.81533425,6.2652395,10.3475675,13
14849,I,0.9,0.6875,0.225,6.27941425,2.84912475,1.20485375,1.9561155,7
14850,I,1.0875,0.8125,0.275,12.09106175,5.5281525,2.551455,3.41611475,9
14851,M,1.3375,1.0875,0.375,24.99008425,10.6310625,5.839997,6.80388,9
14852,I,0.9375,0.725,0.225,6.917278,3.18931875,1.11980525,2.26796,5
14853,M,1.5875,1.275,0.3875,33.622507,18.52639825,6.56290925,8.9300925,9
14854,I,0.7125,0.525,0.175,2.59397925,0.9355335,0.60951425,0.850485,4
14855,I,0.9,0.7125,0.2125,5.3013565,2.721552,1.11980525,1.644271,6
14856,F,1.5,1.1625,0.375,27.499015,12.43125575,6.19436575,7.93786,10
14857,I,1.275,0.975,0.3125,16.2442635,7.01650125,3.231843,4.819415,8
14858,I,1.275,0.95,0.3,14.514944,6.6054335,3.35941575,3.41611475,8
14859,F,1.3125,1,0.35,25.060958,11.0846545,4.01145425,5.5281525,9
14860,I,1.0125,0.775,0.3125,8.9300925,3.7137845,2.36718325,2.83495,9
14861,M,1.3,1.025,0.3625,23.85417175,9.87980075,5.556502,6.6621325,10
14862,F,1.5125,1.2125,0.375,30.09299425,11.94931425,7.257472,10.3475675,16
14863,F,1.6375,1.3125,0.4,42.127357,16.612807,9.48290775,14.3164975,11
14864,I,1.025,0.75,0.225,8.50485,3.515338,1.63009625,2.83495,7
14865,M,1.4,1.125,0.45,22.66542525,9.525432,4.8477645,6.690482,11
14866,I,0.7875,0.575,0.1875,4.309124,1.871067,0.80796075,1.2757275,6
14867,M,1.175,0.975,0.3125,15.74814725,6.33611325,3.04757125,4.9611625,9
14868,F,1.4375,1.125,0.4,27.91008275,12.11941125,6.690482,6.4920355,7
14869,I,1.1125,0.8875,0.2375,12.94154675,5.1312595,2.42388225,4.3941725,7
14870,I,0.925,0.6625,0.2125,6.13766675,2.26796,1.2190285,1.984465,7
14871,I,0.925,0.6875,0.2125,6.1518415,2.721552,1.587572,1.984465,6
14872,I,1,0.8125,0.25,9.63883,4.72019175,1.68679525,2.67902775,7
14873,M,1.1875,0.9875,0.3,16.76872925,9.19941275,3.72795925,5.2446575,9
14874,M,1.4625,1.125,0.375,25.51455,11.66581925,5.88252125,6.23689,9
14875,M,1.525,1.1875,0.4125,29.48348,13.53688625,6.42116175,7.93786,8
14876,M,1.375,1.125,0.375,25.27357925,10.2908685,6.917278,6.0951425,9
14877,I,1,0.775,0.2375,9.8939755,4.3941725,1.8994165,2.1262125,7
14878,I,0.6375,0.4625,0.175,2.1262125,0.8788345,0.5953395,0.7087375,4
14879,I,1.3125,1,0.3125,17.61921425,8.334753,4.06815325,4.819415,8
14880,M,1.575,1.225,0.3625,29.1149365,13.13999325,6.2652395,8.3631025,12
14881,F,1.7,1.375,0.4875,50.8306535,19.71707725,10.70193625,15.4504775,17
14882,M,1.2,0.95,0.3125,17.463292,9.3269855,2.90582375,4.1673765,6
14883,M,1.2875,1,0.3625,20.921931,9.2702865,4.479221,5.5281525,10
14884,M,0.925,0.6875,0.2375,6.27941425,2.7499015,1.28990225,1.74349425,9
14885,M,1.4125,1.1,0.375,25.92561775,11.97766375,5.57067675,7.087375,8
14886,M,1.3125,1.0125,0.425,20.87940675,8.20718025,4.422522,6.23689,11
14887,M,1.2125,0.925,0.3875,27.442316,9.7238785,6.95980225,6.70465675,12
14888,M,1.3,0.975,0.375,18.24290325,8.17883075,4.4508715,4.5642695,11
14889,M,1.5375,1.1875,0.425,31.22697425,13.79203175,8.20718025,9.2135875,9
14890,I,0.6875,0.5,0.1625,2.608154,1.09145575,0.66621325,0.7654365,6
14891,F,1.475,1.1625,0.3875,31.19862475,14.344847,7.15824875,8.3631025,10
14892,F,1.525,1.2125,0.3875,33.77842925,14.401546,6.3786375,9.4970825,10
14893,I,1.15,0.85,0.2625,10.886208,5.08873525,1.927766,3.118445,7
14894,M,1.2875,0.95,0.3125,14.75591475,4.9044635,3.40194,4.69184225,11
14895,M,1.55,1.225,0.4,32.98464325,15.52135125,7.10154975,8.29222875,11
14896,I,1.075,0.8375,0.25,9.70970375,4.12485225,1.63009625,2.9766975,8
14897,F,1.575,1.275,0.475,37.32211675,15.932419,7.66853975,11.056305,10
14898,M,1.375,1.1,0.4,26.138239,9.6104805,5.59902625,8.221355,12
14899,M,1.325,1.05,0.3375,19.17843675,8.561549,4.01145425,5.85417175,10
14900,M,1.5375,1.15,0.4375,29.5685285,13.93377925,6.066793,8.6465975,9
14901,F,1.525,1.2125,0.4125,36.78347625,16.839603,8.03708325,9.4970825,11
14902,M,1.6,1.4125,0.4125,43.1195895,18.257078,10.546014,11.509897,13
14903,F,1.5,1.175,0.3625,28.81726675,11.793392,6.95980225,8.0796075,13
14904,F,1.45,1.15,0.3375,26.308336,10.9712565,5.499803,7.7961125,11
14905,F,1.6375,1.375,0.4875,46.62075275,18.12950525,12.3887315,13.93377925,10
14906,I,0.825,0.575,0.1625,3.572037,1.11980525,0.77961125,0.9922325,5
14907,I,1.0625,0.7875,0.25,10.41844125,5.28718175,1.91359125,2.79242575,6
14908,M,1.4375,1.175,0.4625,29.0582375,10.61688775,6.16601625,10.0640725,14
14909,M,0.95,0.7375,0.25,7.55514175,3.2601925,1.48834875,2.4097075,7
14910,F,1.4625,1.1375,0.375,24.70658925,10.035723,5.14543425,6.520385,10
14911,M,1.525,1.2,0.4125,35.59279725,14.74174,6.81805475,10.602713,9
14912,I,0.9,0.6625,0.2,5.06038575,1.82854275,1.09145575,1.70097,7
14913,I,0.85,0.6625,0.2375,5.783298,2.11203775,1.1623295,1.984465,6
14914,M,1.6625,1.3125,0.475,50.632207,16.51358375,10.262519,13.0691195,16
14915,I,0.9125,0.675,0.2125,5.2446575,1.77184375,1.11980525,1.984465,8
14916,I,1.0625,0.8375,0.275,11.92096475,4.72019175,2.8066005,3.96893,10
14917,M,1.65,1.3125,0.5,42.2124055,21.262125,8.731646,11.32562525,11
14918,M,1.4125,1.1125,0.3125,22.1976585,9.3269855,4.479221,6.19436575,9
14919,F,1.625,1.2875,0.425,39.13648475,19.1359125,8.71747125,9.02931575,10
14920,I,1.125,0.875,0.2875,13.267566,4.03980375,2.438057,4.252425,9
14921,M,1.45,1.1375,0.4125,27.17299575,10.47514025,5.8683465,7.7961125,16
14922,I,1.0875,0.85,0.3,9.4970825,4.03980375,1.63009625,3.2601925,8
14923,M,1.25,0.9625,0.3,15.365429,6.7188315,3.175144,4.819415,8
14924,I,1.125,0.825,0.3,14.571643,6.406987,3.118445,4.139027,9
14925,I,1.1875,0.8875,0.3,13.90542975,5.54232725,2.9199985,3.685435,8
14926,F,1.5875,1.3125,0.475,40.7382315,13.2959155,7.52679225,11.623295,13
14927,I,1.1375,0.8375,0.3125,10.716111,5.953395,2.891649,3.40194,8
14928,M,1.45,1.1375,0.3375,27.1304715,13.42348825,5.2446575,7.5126175,10
14929,F,1.225,0.9625,0.325,19.57532975,8.85921875,4.309124,5.0745605,8
14930,M,1.5,1.2,0.4125,29.69610125,10.70193625,6.64795775,10.9145575,15
14931,I,0.4125,0.325,0.1,0.7654365,0.29766975,0.15592225,0.283495,1
14932,I,1.2375,1,0.35,20.41164,8.958442,4.12485225,5.10291,10
14933,M,1.5,1.225,0.425,32.6869735,15.46465225,7.200773,8.6465975,12
14934,F,1.425,1.1125,0.4,28.33532525,15.5071765,6.36446275,7.087375,8
14935,M,0.85,0.65,0.2,5.10291,2.26796,1.09145575,1.5592225,6
14936,M,1.45,1.1125,0.3625,27.839209,12.6722265,6.16601625,7.5126175,10
14937,I,1.1375,0.875,0.3125,13.48018725,5.71242425,2.84912475,3.5436875,6
14938,F,1.45,1.15,0.3875,25.51455,10.41844125,5.329706,7.654365,11
14939,F,1.3,1.0375,0.3375,18.27125275,6.917278,4.2240755,5.953395,14
14940,I,1.025,0.7875,0.2875,9.45455825,3.6570855,1.74349425,2.83495,6
14941,I,0.9625,0.75,0.2125,7.72523875,2.7499015,1.6159215,2.26796,6
14942,F,1.625,1.2125,0.4625,35.81959325,17.22232125,8.66077225,8.9300925,9
14943,F,1.575,1.2625,0.4625,36.0322145,16.68368075,6.973977,10.61688775,10
14944,F,1.6375,1.2875,0.425,43.2896865,24.05455075,7.47009325,11.7650425,10
14945,F,1.45,1.15,0.4,28.81726675,13.9196045,6.2652395,7.5126175,12
14946,I,1.3,1,0.3,16.40018575,7.314171,3.8271825,4.53592,8
14947,I,0.5875,0.4375,0.1375,1.45999925,0.5953395,0.18427175,0.510291,4
14948,I,0.925,0.725,0.1875,6.64795775,3.061746,1.4458245,1.984465,7
14949,I,0.975,0.7,0.2375,8.32057825,3.21766825,1.74349425,2.26796,7
14950,M,1.6375,1.2625,0.475,39.3774555,17.08057375,9.015141,11.7650425,11
14951,I,1.3375,1.0125,0.375,22.15513425,8.94426725,4.63514325,6.23689,10
14952,F,1.425,1.125,0.4125,25.0326085,9.68135425,5.59902625,8.50485,9
14953,M,1.4125,1.125,0.375,27.8675585,12.48795475,6.13766675,7.7961125,11
14954,I,0.95,0.6875,0.25,6.39281225,3.118445,1.3891255,2.2396105,7
14955,F,1.2125,0.875,0.3,13.90542975,5.99591925,2.8632995,4.53592,9
14956,F,1.475,1.175,0.3875,31.5529935,15.1669825,6.08096775,7.2291225,11
14957,M,1.6,1.2875,0.4375,36.967748,15.77649675,8.6465975,12.757275,11
14958,I,1.0375,0.7625,0.2375,8.17883075,3.9405805,1.4458245,2.551455,8
14959,F,1.55,1.225,0.3875,31.5529935,13.9763035,6.917278,9.7805775,10
14960,I,1,0.7875,0.25,8.57572375,3.24601775,1.60174675,2.6932025,6
14961,I,0.825,0.625,0.1625,4.60679375,2.11203775,0.963883,1.417475,6
14962,M,1.55,1.175,0.3625,28.76056775,14.4298955,5.8683465,7.5126175,9
14963,M,1.575,1.2375,0.45,29.7386255,12.37455675,6.76135575,8.6465975,11
14964,M,1.2875,0.9875,0.3375,15.66309875,6.0951425,3.81300775,4.819415,9
14965,F,1.4125,1.1125,0.425,31.18445,11.169703,6.95980225,10.77281,15
14966,M,1.5625,1.225,0.4125,35.6920205,13.8062065,7.55514175,10.77281,13
14967,F,1.6,1.375,0.425,41.31939625,12.79979925,7.5693165,13.4660125,14
14968,F,1.4125,1.1375,0.3375,26.03901575,11.26892625,5.5281525,7.93786,8
14969,M,1.5625,1.2125,0.375,34.23202125,16.48523425,6.7755305,8.6465975,9
14970,F,1.25,0.9875,0.3,15.87572,6.9456275,2.9199985,4.66349275,13
14971,I,0.8625,0.65,0.2375,5.59902625,2.14038725,1.65844575,1.984465,8
14972,I,0.9,0.7125,0.275,6.84640425,3.1467945,1.6159215,2.1262125,6
14973,M,1.6125,1.2,0.4375,38.82464025,12.8423235,7.38504475,13.324265,13
14974,F,1.175,0.9,0.2625,12.8990225,5.06038575,2.93417325,3.96893,10
14975,I,0.9625,0.7,0.25,8.5331995,3.345241,1.48834875,2.551455,11
14976,M,1.4125,1.0875,0.3875,26.138239,10.8578585,5.046211,7.7961125,12
14977,F,1.5625,1.2375,0.425,36.457457,16.68368075,8.03708325,9.922325,11
14978,M,1.45,1.0875,0.375,30.7592075,13.154168,7.2858215,7.654365,10
14979,M,1.5125,1.175,0.3875,27.59823825,12.79979925,6.67630725,8.9300925,9
14980,F,1.4,1.075,0.3625,24.73493875,11.4248485,5.556502,6.3219385,10
14981,M,1.5625,1.2125,0.35,33.962701,17.6617385,6.47786075,8.34892775,8
14982,F,1.55,1.275,0.4375,38.90968875,17.81766075,7.7961125,10.44679075,10
14983,I,0.6125,0.45,0.1625,2.14038725,0.8788345,0.56699,0.7087375,4
14984,M,1.8625,1.4125,0.5,64.33919025,25.04678325,11.29727575,18.8524175,12
14985,F,1.4125,1.1125,0.3375,23.88445375,10.489315,4.63514325,7.5126175,14
14986,F,1.325,1.0125,0.3,20.6100865,7.257472,4.52174525,5.6982495,8
14987,M,1.425,1.1,0.4,27.9242575,13.16834275,5.6982495,7.654365,10
14988,M,1.5875,1.2,0.425,35.3518265,16.3576615,8.164656,9.7805775,9
14989,M,1.325,1.05,0.3625,19.97222275,7.95203475,4.7343665,5.10291,10
14990,I,1.1625,0.8875,0.3,16.40018575,7.1724235,4.53592,3.96893,8
14991,I,1.3,1.0125,0.3,20.31241675,9.87980075,4.025629,5.2446575,8
14992,M,1.2125,1,0.35,23.23241525,6.76135575,4.06815325,5.783298,15
14993,F,1.55,1.225,0.3625,31.25532375,15.46465225,6.690482,7.087375,9
14994,F,1.7375,1.3375,0.4875,49.8100715,25.3728025,11.15552825,13.4660125,11
14995,F,1.55,1.3,0.45,34.8415355,14.7133905,7.881161,10.39009175,10
14996,F,1.425,1.125,0.3625,26.3366855,11.75086775,5.10291,7.5126175,13
14997,M,1.6125,1.275,0.4125,38.76794125,17.519991,8.4765005,12.190285,10
14998,M,1.25,1.0125,0.425,23.416687,9.7805775,5.783298,6.7755305,13
14999,M,1.5875,1.25,0.4375,37.57726225,18.8524175,7.38504475,9.4970825,9
15000,M,1.1625,0.9125,0.3125,13.3526145,6.293589,3.3735905,3.96893,7
15001,F,1.625,1.2625,0.3875,39.22153325,20.14231975,7.087375,9.4970825,12
15002,I,0.875,0.65,0.2125,5.10291,2.59397925,1.31825175,1.5592225,7
15003,M,1.525,1.2,0.4125,33.112216,15.3370795,6.7755305,9.7805775,11
15004,M,1.5625,1.2,0.4375,37.7331845,14.2030995,8.26387925,11.4815475,17
15005,F,1.7,1.325,0.4875,39.405805,18.32795175,8.5898985,10.50348975,9
15006,M,0.8375,0.65,0.2125,5.613201,1.984465,1.020582,1.8427175,9
15007,M,0.9625,0.75,0.25,9.07184,4.5642695,2.14038725,2.26796,7
15008,I,0.55,0.4,0.125,1.54504775,0.60951425,0.340194,0.43941725,4
15009,M,1.325,0.95,0.3375,18.10115575,8.34892775,3.98310475,4.8477645,10
15010,M,1.6375,1.3125,0.4875,38.71124225,15.762322,8.1363065,12.0485375,16
15011,F,1.75,1.4125,0.4375,44.22522,18.9091165,9.7805775,11.3398,11
15012,M,1.2875,1.025,0.35,19.43358225,7.10154975,4.01145425,6.633783,10
15013,I,1.45,1.125,0.3625,27.17299575,12.60135275,5.9250455,7.72523875,12
15014,M,1.3125,1.025,0.375,19.1926115,8.77417025,4.0539785,5.2446575,9
15015,M,1.4125,1.1375,0.3625,27.08794725,10.58853825,5.17378375,9.4970825,14
15016,F,1.4375,1.175,0.425,28.19357775,12.1619355,5.5281525,8.34892775,10
15017,I,0.475,0.3,0.0625,0.55281525,0.226796,0.15592225,0.21262125,4
15018,F,1.4,1.1,0.35,26.32251075,10.84368375,5.329706,7.5126175,17
15019,F,1.0875,0.8875,0.2625,12.99824575,5.499803,2.84912475,3.685435,8
15020,I,1.3,1.0125,0.375,20.638436,9.2135875,4.989512,6.9456275,8
15021,M,1.025,0.8625,0.2875,12.48795475,5.386405,2.4097075,3.8271825,7
15022,I,1.2125,0.95,0.3,13.39513875,5.88252125,3.04757125,4.1673765,8
